row_index,column,original_value,injected_value,error_type,error_family,noise_level
19732,country,PRT,unknown,missing_unknown_string,missing_values,low
25036,country,IRL,unknown,missing_unknown_string,missing_values,low
34433,country,NLD, ,missing_whitespace,missing_values,low
71425,country,GBR,NA,missing_NA_string,missing_values,low
64731,country,GBR,,missing_empty_string,missing_values,low
115583,country,BEL,,missing_nan,missing_values,low
40053,country,GBR,NA,missing_NA_string,missing_values,low
50188,country,ITA,NA,missing_NA_string,missing_values,low
109107,country,PRT,unknown,missing_unknown_string,missing_values,low
73093,country,FRA,unknown,missing_unknown_string,missing_values,low
70464,country,PRT,,missing_nan,missing_values,low
95557,country,GBR,,missing_empty_string,missing_values,low
31157,country,ESP,N/A,missing_N/A_string,missing_values,low
87051,country,PRT,NA,missing_NA_string,missing_values,low
46683,country,ITA,,missing_nan,missing_values,low
14899,country,PRT, ,missing_whitespace,missing_values,low
36535,country,DEU,unknown,missing_unknown_string,missing_values,low
18634,country,FRA,N/A,missing_N/A_string,missing_values,low
103432,country,FRA,,missing_empty_string,missing_values,low
13777,country,BRA, ,missing_whitespace,missing_values,low
101459,country,PRT,,missing_nan,missing_values,low
77636,country,DNK,NA,missing_NA_string,missing_values,low
115631,country,NOR,unknown,missing_unknown_string,missing_values,low
89563,country,PRT, ,missing_whitespace,missing_values,low
98548,country,PRT,,missing_empty_string,missing_values,low
7984,country,GBR,N/A,missing_N/A_string,missing_values,low
92176,country,DEU,,missing_empty_string,missing_values,low
22873,country,PRT,,missing_nan,missing_values,low
26174,country,IRL,NA,missing_NA_string,missing_values,low
82870,country,PRT, ,missing_whitespace,missing_values,low
12630,country,GBR,unknown,missing_unknown_string,missing_values,low
115022,country,FRA,NA,missing_NA_string,missing_values,low
97250,country,NOR,,missing_empty_string,missing_values,low
74689,country,PRT,,missing_nan,missing_values,low
64186,country,PRT,,missing_empty_string,missing_values,low
88749,country,FRA,,missing_nan,missing_values,low
66047,country,ESP,,missing_empty_string,missing_values,low
52469,country,PRT,unknown,missing_unknown_string,missing_values,low
47355,country,PRT,,missing_nan,missing_values,low
57187,country,GBR,,missing_nan,missing_values,low
57464,country,PRT,N/A,missing_N/A_string,missing_values,low
54484,country,FRA,,missing_empty_string,missing_values,low
55476,country,FRA,NA,missing_NA_string,missing_values,low
67502,country,PRT,,missing_nan,missing_values,low
1837,country,PRT,,missing_empty_string,missing_values,low
82598,country,JPN,NA,missing_NA_string,missing_values,low
9434,country,DEU,unknown,missing_unknown_string,missing_values,low
88381,country,BOL,NA,missing_NA_string,missing_values,low
53587,country,PRT,N/A,missing_N/A_string,missing_values,low
41713,country,PRT,N/A,missing_N/A_string,missing_values,low
92014,country,NLD,,missing_empty_string,missing_values,low
58628,country,USA,,missing_empty_string,missing_values,low
105637,country,USA,NA,missing_NA_string,missing_values,low
96776,country,FRA,,missing_nan,missing_values,low
103450,country,USA,unknown,missing_unknown_string,missing_values,low
51280,country,PRT,N/A,missing_N/A_string,missing_values,low
71331,country,BEL,,missing_empty_string,missing_values,low
54821,country,FRA,NA,missing_NA_string,missing_values,low
116132,country,CN,,missing_empty_string,missing_values,low
72506,country,ITA,N/A,missing_N/A_string,missing_values,low
100826,country,SVN,unknown,missing_unknown_string,missing_values,low
2751,country,PRT,,missing_nan,missing_values,low
118279,country,FRA,NA,missing_NA_string,missing_values,low
73071,country,CHE,,missing_nan,missing_values,low
57897,country,CHN,NA,missing_NA_string,missing_values,low
42435,country,PRT,,missing_empty_string,missing_values,low
108137,country,PRT,NA,missing_NA_string,missing_values,low
6864,country,AUT,NA,missing_NA_string,missing_values,low
88738,country,DEU,,missing_empty_string,missing_values,low
62713,country,NLD,NA,missing_NA_string,missing_values,low
27441,country,ITA,unknown,missing_unknown_string,missing_values,low
104746,country,FRA,unknown,missing_unknown_string,missing_values,low
42940,country,FRA,,missing_nan,missing_values,low
100057,country,CN,NA,missing_NA_string,missing_values,low
35230,country,FRA, ,missing_whitespace,missing_values,low
81515,country,PRT,N/A,missing_N/A_string,missing_values,low
51029,country,PRT,,missing_empty_string,missing_values,low
1678,country,PRT,N/A,missing_N/A_string,missing_values,low
15221,country,PRT,,missing_nan,missing_values,low
116627,country,BEL,,missing_nan,missing_values,low
31724,country,GBR,N/A,missing_N/A_string,missing_values,low
21345,country,PRT,N/A,missing_N/A_string,missing_values,low
36498,country,GBR,unknown,missing_unknown_string,missing_values,low
20315,country,PRT,NA,missing_NA_string,missing_values,low
87428,country,THA, ,missing_whitespace,missing_values,low
105816,country,CHE,NA,missing_NA_string,missing_values,low
28019,country,IRL,unknown,missing_unknown_string,missing_values,low
83624,country,ESP,,missing_nan,missing_values,low
45596,country,DEU,,missing_nan,missing_values,low
39932,country,PRT,unknown,missing_unknown_string,missing_values,low
54368,country,PRT, ,missing_whitespace,missing_values,low
26905,country,CYP, ,missing_whitespace,missing_values,low
20510,country,PRT,,missing_empty_string,missing_values,low
21130,country,ESP,,missing_nan,missing_values,low
41964,country,FRA, ,missing_whitespace,missing_values,low
39500,country,PRT,N/A,missing_N/A_string,missing_values,low
28001,country,GBR,,missing_empty_string,missing_values,low
32199,country,PRT,unknown,missing_unknown_string,missing_values,low
95438,country,ESP, ,missing_whitespace,missing_values,low
51103,country,PRT,,missing_empty_string,missing_values,low
52135,country,PRT,unknown,missing_unknown_string,missing_values,low
23970,country,PRT,unknown,missing_unknown_string,missing_values,low
94803,country,FRA,N/A,missing_N/A_string,missing_values,low
12679,country,ISR,N/A,missing_N/A_string,missing_values,low
87002,country,PRT,,missing_empty_string,missing_values,low
116711,country,DEU, ,missing_whitespace,missing_values,low
90984,country,DEU, ,missing_whitespace,missing_values,low
27945,country,FRA, ,missing_whitespace,missing_values,low
55963,country,PRT,unknown,missing_unknown_string,missing_values,low
49181,country,PRT,,missing_nan,missing_values,low
8134,country,GBR,NA,missing_NA_string,missing_values,low
17337,country,FIN,NA,missing_NA_string,missing_values,low
82010,country,PRT, ,missing_whitespace,missing_values,low
96463,country,DEU,N/A,missing_N/A_string,missing_values,low
64006,country,PRT,N/A,missing_N/A_string,missing_values,low
117270,country,PRT,,missing_nan,missing_values,low
118516,country,FRA,unknown,missing_unknown_string,missing_values,low
116846,country,ESP,NA,missing_NA_string,missing_values,low
35868,country,DEU,,missing_nan,missing_values,low
28892,country,PRT, ,missing_whitespace,missing_values,low
31808,country,PRT,,missing_empty_string,missing_values,low
45262,country,PRT,,missing_nan,missing_values,low
17150,country,PRT,,missing_nan,missing_values,low
93324,country,FRA,NA,missing_NA_string,missing_values,low
55655,country,PRT,,missing_nan,missing_values,low
